FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
PL-4(1),PL-04(01) - Social Media and External Site/Application Usage Restrictions,"Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on public websites; and (c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g.,...",high,semantic,"StateRAMP Rev5 Moderate PL-4(1) requires Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on public websites; and (c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g.,.... NIST 800-82 r3 Moderate PL-4(1) requires Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on public websites; and (c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g.,.... Both address OT cybersecurity safeguards.",equal,10,PL-04(01) - Social Media and External Site/Application Usage Restrictions,PL-4(1),"Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on public websites; and (c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g.,...",Auto-mapped via ID-first + lexical scoring (score=1.000).
PL-8,PL-08 - Security and Privacy Architectures,Develop security and privacy architectures for the system that: 1.,high,semantic,StateRAMP Rev5 Moderate PL-8 requires Develop security and privacy architectures for the system that: 1.. NIST 800-82 r3 Moderate PL-8 requires Develop security and privacy architectures for the system that: 1.. Both address OT cybersecurity safeguards.,equal,10,PL-08 - Security and Privacy Architectures,PL-8,Develop security and privacy architectures for the system that: 1.,Auto-mapped via ID-first + lexical scoring (score=0.951).
PL-10,PL-10 - Baseline Selection,Select a control baseline for the system.,high,semantic,StateRAMP Rev5 Moderate PL-10 requires Select a control baseline for the system.. NIST 800-82 r3 Moderate PL-10 requires Select a control baseline for the system.. Both address OT cybersecurity safeguards.,equal,10,PL-10 - Baseline Selection,PL-10,Select a control baseline for the system.,Auto-mapped via ID-first + lexical scoring (score=0.963).
PL-11,PL-11 - Baseline Tailoring,Tailor the selected control baseline by applying specified tailoring actions.,high,semantic,StateRAMP Rev5 Moderate PL-11 requires Tailor the selected control baseline by applying specified tailoring actions.. NIST 800-82 r3 Moderate PL-11 requires Tailor the selected control baseline by applying specified tailoring actions.. Both address OT cybersecurity safeguards.,equal,10,PL-11 - Baseline Tailoring,PL-11,Tailor the selected control baseline by applying specified tailoring actions.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-1,PS-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate PS-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate PS-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,PS-01 - Policy and Procedures,PS-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
PS-2,PS-02 - Position Risk Designation,Assign a risk designation to all organizational positions; b.,high,semantic,StateRAMP Rev5 Moderate PS-2 requires Assign a risk designation to all organizational positions; b.. NIST 800-82 r3 Moderate PS-2 requires Assign a risk designation to all organizational positions; b.. Both address OT cybersecurity safeguards.,equal,10,PS-02 - Position Risk Designation,PS-2,Assign a risk designation to all organizational positions; b.,Auto-mapped via ID-first + lexical scoring (score=0.917).
PS-3,PS-03 - Personnel Screening,Screen individuals prior to authorizing access to the system; and b.,high,semantic,StateRAMP Rev5 Moderate PS-3 requires Screen individuals prior to authorizing access to the system; and b.. NIST 800-82 r3 Moderate PS-3 requires Screen individuals prior to authorizing access to the system; and b.. Both address OT cybersecurity safeguards.,equal,10,PS-03 - Personnel Screening,PS-3,Screen individuals prior to authorizing access to the system; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-3(3),PS-03(03) - Information Requiring Special Protective Measures,"Verify that individuals accessing a system processing, storing, or transmitting information requiring special protection: (a) Have valid access authorizations that are demonstrated by assigned official government duties; and (b) Satisfy .",high,functional,"StateRAMP Rev5 Moderate PS-3(3) requires Verify that individuals accessing a system processing, storing, or transmitting information requiring special protection: (a) Have valid access authorizations that are demonstrated by assigned official government duties; and (b) Satisfy .. NIST 800-82 r3 Moderate PS-3 requires Screen individuals prior to authorizing access to the system; and b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,PS-03 - Personnel Screening,PS-3,Screen individuals prior to authorizing access to the system; and b.,Auto-mapped via ID-first + lexical scoring (score=0.383).
PS-4,PS-04 - Personnel Termination,Upon termination of individual employment: a.,high,semantic,StateRAMP Rev5 Moderate PS-4 requires Upon termination of individual employment: a.. NIST 800-82 r3 Moderate PS-4 requires Upon termination of individual employment: a.. Both address OT cybersecurity safeguards.,equal,10,PS-04 - Personnel Termination,PS-4,Upon termination of individual employment: a.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-5,PS-05 - Personnel Transfer,Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization; b.,high,semantic,StateRAMP Rev5 Moderate PS-5 requires Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization; b.. NIST 800-82 r3 Moderate PS-5 requires Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization; b.. Both address OT cybersecurity safeguards.,equal,10,PS-05 - Personnel Transfer,PS-5,Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-6,PS-06 - Access Agreements,Develop and document access agreements for organizational systems; b.,high,semantic,StateRAMP Rev5 Moderate PS-6 requires Develop and document access agreements for organizational systems; b.. NIST 800-82 r3 Moderate PS-6 requires Develop and document access agreements for organizational systems; b.. Both address OT cybersecurity safeguards.,equal,10,PS-06 - Access Agreements,PS-6,Develop and document access agreements for organizational systems; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-7,PS-07 - External Personnel Security,"Establish personnel security requirements, including security roles and responsibilities for external providers; b.",high,semantic,"StateRAMP Rev5 Moderate PS-7 requires Establish personnel security requirements, including security roles and responsibilities for external providers; b.. NIST 800-82 r3 Moderate PS-7 requires Establish personnel security requirements, including security roles and responsibilities for external providers; b.. Both address OT cybersecurity safeguards.",equal,10,PS-07 - External Personnel Security,PS-7,"Establish personnel security requirements, including security roles and responsibilities for external providers; b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
PS-8,PS-08 - Personnel Sanctions,Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b.,high,semantic,StateRAMP Rev5 Moderate PS-8 requires Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b.. NIST 800-82 r3 Moderate PS-8 requires Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b.. Both address OT cybersecurity safeguards.,equal,10,PS-08 - Personnel Sanctions,PS-8,Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
